Date,Open,High,Low,Close,Adj Close,Volume
2010-11-26,0.87,0.9,0.85,0.89,0.42,64791508.0
2010-11-29,0.87,0.88,0.86,0.87,0.41,48819941.0
2010-11-30,0.87,0.87,0.84,0.85,0.4,23158544.0
2010-12-01,0.85,0.86,0.85,0.85,0.4,8183769.0
2010-12-02,0.86,0.86,0.84,0.85,0.4,9536477.0
2010-12-03,0.85,0.85,0.84,0.85,0.4,5926967.0
2010-12-06,0.85,0.85,0.84,0.84,0.4,12388379.0
2010-12-07,0.84,0.84,0.82,0.82,0.39,19426580.0
2010-12-08,0.83,0.83,0.82,0.83,0.39,9775661.0
2010-12-09,0.83,0.83,0.82,0.82,0.39,8680448.0
2010-12-10,0.82,0.82,0.81,0.82,0.39,12487944.0
2010-12-13,0.82,0.82,0.81,0.81,0.39,5106415.0
2010-12-14,0.82,0.83,0.81,0.82,0.39,3290216.0
2010-12-15,0.83,0.84,0.82,0.83,0.4,18913879.0
2010-12-16,0.84,0.86,0.83,0.85,0.4,12858737.0
2010-12-17,0.86,0.87,0.85,0.86,0.41,6265716.0
2010-12-20,0.86,0.86,0.85,0.85,0.4,2281979.0
2010-12-21,0.86,0.86,0.84,0.85,0.4,1431673.0
2010-12-22,0.85,0.85,0.84,0.85,0.4,2156093.0
2010-12-23,0.85,0.85,0.84,0.85,0.4,1084913.0
2010-12-24,0.85,0.85,0.84,0.84,0.4,0.0
2010-12-27,0.85,0.85,0.84,0.84,0.4,260928.0
2010-12-28,0.85,0.85,0.84,0.85,0.4,725564.0
2010-12-29,0.85,0.85,0.84,0.85,0.4,513846.0
2010-12-30,0.85,0.85,0.84,0.84,0.4,995648.0
2010-12-31,0.85,0.85,0.84,0.85,0.4,0.0
2011-01-03,0.85,0.85,0.84,0.85,0.4,1376741.0
2011-01-04,0.85,0.85,0.84,0.84,0.4,769052.0
2011-01-05,0.84,0.85,0.84,0.85,0.4,1725790.0
2011-01-06,0.85,0.86,0.85,0.86,0.41,2308301.0
2011-01-07,0.86,0.87,0.85,0.86,0.41,4769955.0
2011-01-10,0.87,0.87,0.87,0.87,0.41,6297760.0
2011-01-11,0.87,0.89,0.87,0.87,0.41,6635365.0
2011-01-12,0.87,0.88,0.87,0.87,0.41,1301209.0
2011-01-13,0.87,0.88,0.87,0.87,0.41,761041.0
2011-01-14,0.87,0.89,0.87,0.88,0.42,3648421.0
2011-01-17,0.89,0.89,0.87,0.87,0.41,1629658.0
2011-01-18,0.87,0.88,0.87,0.87,0.41,338749.0
2011-01-19,0.87,0.88,0.87,0.87,0.41,4505593.0
2011-01-20,0.86,0.87,0.86,0.87,0.41,1211944.0
2011-01-21,0.87,0.87,0.87,0.87,0.41,840006.0
2011-01-24,0.87,0.87,0.87,0.87,0.41,787363.0
2011-01-25,0.87,0.87,0.87,0.87,0.41,585945.0
